operation, device, packetlength, params, execution time (musec)
,,128,,241.14285714285717
,,256,,244.19047619047618
,,512,,250.28571428571428
,,1024,,262.4761904761905
,Intel-i7-6700,128,,253.20000000000002
,,256,,256.4
,,512,,262.8
,,1024,,275.59999999999997
,,128,,253.20000000000002
,,256,,256.4
,,512,,262.8
,,1024,,275.59999999999997
,ARM-_Denver_2,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,ARM-_ARM_Cortex,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,Intel-Xeon-w-1370P,128,,281.33333333333337
,,256,,284.8888888888889
,,512,,292.0
,,1024,,306.22222222222223
,Intel-i7-14650HX,128,,194.76923076923077
,,256,,197.23076923076923
,,512,,202.15384615384613
,,1024,,211.99999999999997
,,128,,194.76923076923077
,,256,,197.23076923076923
,,512,,202.15384615384613
,,1024,,211.99999999999997
,Intel-i3-4130,128,,297.8823529411765
,,256,,301.64705882352945
,,512,,309.1764705882353
,,1024,,324.235294117647
,Intel-i7-14700HX,128,,184.14545454545456
,,256,,186.4727272727273
,,512,,191.12727272727273
,,1024,,200.43636363636364
,,128,,184.14545454545456
,,256,,186.4727272727273
,,512,,191.12727272727273
,,1024,,200.43636363636364
encrypt-rc6-256,Intel-Xeon-w-1350P,128,,253.20000000000002
,,256,,256.4
,,512,,262.8
,,1024,,275.59999999999997
,Intel-i7-11850HE,128,,215.48936170212767
,,256,,218.2127659574468
,,512,,223.6595744680851
,,1024,,234.55319148936167
,,128,,215.48936170212767
,,256,,218.2127659574468
,,512,,223.6595744680851
,,1024,,234.55319148936167
,Intel-i7-7600U,128,,259.69230769230774
,,256,,262.974358974359
,,512,,269.53846153846155
,,1024,,282.66666666666663
,,128,,259.69230769230774
,,256,,262.974358974359
,,512,,269.53846153846155
,,1024,,282.66666666666663
,Intel-Xeon-w-1390P,128,,194.76923076923077
,,256,,197.23076923076923
,,512,,202.15384615384613
,,1024,,211.99999999999997
,Intel-i7-1360P,128,,202.56
,,256,,205.11999999999998
,,512,,210.23999999999998
,,1024,,220.48
,,128,,202.56
,,256,,205.11999999999998
,,512,,210.23999999999998
,,1024,,220.48
,Intel-i7-1185G7E,128,,230.1818181818182
,,256,,233.09090909090907
,,512,,238.90909090909088
,,1024,,250.54545454545453
,,128,,230.1818181818182
,,256,,233.09090909090907
,,512,,238.90909090909088
,,1024,,250.54545454545453
,Intel-i7-7700,128,,241.14285714285717
,,256,,244.19047619047618
,,512,,250.28571428571428
,,1024,,262.4761904761905
,,128,,241.14285714285717
,,256,,244.19047619047618
,,512,,250.28571428571428
,,1024,,262.4761904761905
,Intel-i7-6700,128,,253.20000000000002
,,256,,256.4
,,512,,262.8
,,1024,,275.59999999999997
,,128,,253.20000000000002
,,256,,256.4
,,512,,262.8
,,1024,,275.59999999999997
,ARM-_Denver_2,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,ARM-_ARM_Cortex,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,Intel-Xeon-w-1370P,128,,281.33333333333337
,,256,,284.8888888888889
,,512,,292.0
,,1024,,306.22222222222223
,Intel-i7-14650HX,128,,194.76923076923077
,,256,,197.23076923076923
,,512,,202.15384615384613
,,1024,,211.99999999999997
,,128,,194.76923076923077
,,256,,197.23076923076923
,,512,,202.15384615384613
,,1024,,211.99999999999997
,Intel-i3-4130,128,,297.8823529411765
,,256,,301.64705882352945
,,512,,309.1764705882353
,,1024,,324.235294117647
,Intel-i7-14700HX,128,,184.14545454545456
,,256,,186.4727272727273
,,512,,191.12727272727273
,,1024,,200.43636363636364
,,128,,184.14545454545456
,,256,,186.4727272727273
,,512,,191.12727272727273
,,1024,,200.43636363636364
encrypt-rc6-512,Intel-Xeon-w-1350P,128,,253.20000000000002
,,256,,256.4
,,512,,262.8
,,1024,,275.59999999999997
,Intel-i7-11850HE,128,,215.48936170212767
,,256,,218.2127659574468
,,512,,223.6595744680851
,,1024,,234.55319148936167
,,128,,215.48936170212767
,,256,,218.2127659574468
,,512,,223.6595744680851
,,1024,,234.55319148936167
,Intel-i7-7600U,128,,259.69230769230774
,,256,,262.974358974359
,,512,,269.53846153846155
,,1024,,282.66666666666663
,,128,,259.69230769230774
,,256,,262.974358974359
,,512,,269.53846153846155
,,1024,,282.66666666666663
,Intel-Xeon-w-1390P,128,,194.76923076923077
,,256,,197.23076923076923
,,512,,202.15384615384613
,,1024,,211.99999999999997
,Intel-i7-1360P,128,,202.56
,,256,,205.11999999999998
,,512,,210.23999999999998
,,1024,,220.48
,,128,,202.56
,,256,,205.11999999999998
,,512,,210.23999999999998
,,1024,,220.48
,Intel-i7-1185G7E,128,,230.1818181818182
,,256,,233.09090909090907
,,512,,238.90909090909088
,,1024,,250.54545454545453
,,128,,230.1818181818182
,,256,,233.09090909090907
,,512,,238.90909090909088
,,1024,,250.54545454545453
,Intel-i7-7700,128,,241.14285714285717
,,256,,244.19047619047618
,,512,,250.28571428571428
,,1024,,262.4761904761905
,,128,,241.14285714285717
,,256,,244.19047619047618
,,512,,250.28571428571428
,,1024,,262.4761904761905
,Intel-i7-6700,128,,253.20000000000002
,,256,,256.4
,,512,,262.8
,,1024,,275.59999999999997
,,128,,253.20000000000002
,,256,,256.4
,,512,,262.8
,,1024,,275.59999999999997
,ARM-_Denver_2,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,ARM-_ARM_Cortex,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,Intel-Xeon-w-1370P,128,,281.33333333333337
,,256,,284.8888888888889
,,512,,292.0
,,1024,,306.22222222222223
,Intel-i7-14650HX,128,,194.76923076923077
,,256,,197.23076923076923
,,512,,202.15384615384613
,,1024,,211.99999999999997
,,128,,194.76923076923077
,,256,,197.23076923076923
,,512,,202.15384615384613
,,1024,,211.99999999999997
,Intel-i3-4130,128,,297.8823529411765
,,256,,301.64705882352945
,,512,,309.1764705882353
,,1024,,324.235294117647
,Intel-i7-14700HX,128,,184.14545454545456
,,256,,186.4727272727273
,,512,,191.12727272727273
,,1024,,200.43636363636364
,,128,,184.14545454545456
,,256,,186.4727272727273
,,512,,191.12727272727273
,,1024,,200.43636363636364
